Vehicle ID,User ID,Password,Source,Destination,Service Type,Role
52206544,user_985,CRgxsbefW4,CityB,CityC,RSU,write
25788713,user_769,k9SIgI2rMD,CityB,CityA,RSU,read
32881734,user_734,LMUoT786au,CityC,CityA,RSU,read
31710519,user_668,dLPOVWz9i0,CityC,CityA,RSU,read
04916698,user_108,ZWbnJedqSS,CityB,CityC,RSU,write
26727614,user_625,DarsHoUEC8,CityA,CityC,RSU,write
95887367,user_876,VRthdQgcXA,CityB,CityA,RSU,write
19763715,user_935,UJKfbZ1cLU,CityA,CityC,RSU,write
69063393,user_974,w7nLxBsMDH,CityB,CityC,RSU,write
53076167,user_163,aDBZjXM3SS,CityA,CityB,RSU,write
05746702,user_957,xliHTIZGEe,CityB,CityC,RSU,read
36187923,user_526,hsccke5jv2,CityC,CityA,RSU,read
61159522,user_991,kU9TNRajnH,CityB,CityC,RSU,write
81522254,user_328,25F9qTm6hO,CityC,CityA,RSU,write
75756383,user_321,bvRoBbTEYM,CityA,CityB,RSU,write
60137580,user_645,w2zwDRUPBh,CityC,CityA,RSU,write
05777703,user_296,724oa6hJqn,CityC,CityA,RSU,write
53554257,user_463,cXeqsFarWK,CityA,CityC,RSU,write
15900355,user_75,Tiq6wfVY2q,CityA,CityB,RSU,write
82798824,user_572,DC8mqQ2CNl,CityC,CityB,RSU,write
65036743,user_124,FFDlqyGxBn,CityC,CityA,RSU,write
99301551,user_346,U6yvqQjydD,CityA,CityC,RSU,write
55592950,user_701,ASRxdS8HgZ,CityA,CityC,RSU,write
71997981,user_459,h3pjwFojw1,CityA,CityB,RSU,write
93078261,user_946,NvUAvmtKRJ,CityB,CityA,RSU,read
87606868,user_521,nqvQCY9o6Q,CityB,CityC,RSU,read
24052230,user_395,DGfbQsZ9ru,CityC,CityA,RSU,write
36800699,user_677,5DfP1P2z2S,CityC,CityA,RSU,write
03945595,user_255,SSLXA1fG6m,CityB,CityC,RSU,read
38628465,user_649,BwwiM861yD,CityC,CityA,RSU,read
31821457,user_597,uXe3xxEtbv,CityA,CityB,RSU,write
06070331,user_411,5bll4XjgK5,CityB,CityC,RSU,write
94189610,user_104,KTbVAS2FBi,CityA,CityC,RSU,read
64583579,user_20,pysZEwIpY3,CityC,CityA,RSU,write
96052108,user_807,ZEUeWeBfug,CityC,CityA,RSU,read
97664218,user_229,mjudA6InwG,CityA,CityC,RSU,write
25636302,user_249,6e2E0FUdaW,CityB,CityC,RSU,write
13240224,user_95,zltqsnhoV5,CityB,CityA,RSU,read
48612699,user_556,9TyxXYaskC,CityC,CityA,RSU,read
94866097,user_534,8EwpNIBbMc,CityC,CityA,RSU,read
00105521,user_594,HOrEBqfTph,CityC,CityB,RSU,read
84377827,user_513,kA0FKPZeq7,CityB,CityA,RSU,write
33344860,user_374,ruyoW7TzBX,CityC,CityB,RSU,write
43361574,user_858,1ZYftIGG4I,CityC,CityB,RSU,write
20035279,user_651,7NoXdKOGS5,CityA,CityB,RSU,write
72682893,user_737,CP77PrMWdg,CityA,CityB,RSU,write
01416383,user_804,Ku6CcrdK7k,CityB,CityC,RSU,read
96533761,user_693,NMVuOTYaJN,CityB,CityC,RSU,read
00618887,user_167,0OJVasXu8g,CityB,CityC,RSU,read
38986369,user_398,vrCcGQvW5V,CityB,CityC,RSU,write
50987673,user_208,t4Jb8Xo2RI,CityB,CityC,RSU,read
76057669,user_791,d5n16FWKz7,CityB,CityA,RSU,write
74658667,user_821,H2gGuvmzhU,CityB,CityC,RSU,write
92275309,user_573,jMBSLtpg1L,CityB,CityC,RSU,write
38792322,user_803,DULjqTsHZt,CityC,CityA,RSU,write
56068600,user_83,1gbkJxOxDA,CityA,CityC,RSU,write
78000064,user_558,V3XHMXcekS,CityC,CityA,RSU,write
87171976,user_441,VdGHO3HBiz,CityA,CityC,RSU,write
61525299,user_758,O5qixLl2do,CityB,CityC,RSU,read
69691461,user_428,ucoQBCHICv,CityA,CityC,RSU,write
80430151,user_589,HwcHqtz0sl,CityC,CityA,RSU,write
51275428,user_638,cQ44Z52N68,CityB,CityA,RSU,write
23168082,user_23,DQoyLf3MPQ,CityA,CityC,RSU,write
21458435,user_54,IovJT3jd4h,CityA,CityC,RSU,read
66576061,user_382,KdN1WupbCf,CityB,CityC,RSU,write
76647387,user_265,Vmflr8iQpG,CityA,CityC,RSU,read
53847131,user_839,jgz0IBC2Bf,CityA,CityC,RSU,read
40568856,user_565,dUESyloYwg,CityC,CityA,RSU,read
52697982,user_331,uIMWjePYz0,CityC,CityB,RSU,read
54268459,user_932,MaRaDlE7kQ,CityA,CityC,RSU,read
05472252,user_451,N5wpslf5mH,CityA,CityC,RSU,write
53321760,user_544,0Jp7f6NaHg,CityB,CityA,RSU,write
11555104,user_82,auY0iaT9A0,CityB,CityC,RSU,read
44593788,user_735,t03qopQTaD,CityC,CityB,RSU,write
25788715,user_37,Ulxb2h8EdT,CityB,CityC,RSU,read
92353749,user_94,BMPrZjSuoO,CityC,CityA,RSU,read
82590665,user_994,EHuWfmKZ8V,CityB,CityC,RSU,write
15302435,user_17,ErL6JsAacZ,CityA,CityC,RSU,read
02632801,user_980,OZAMyIfMgd,CityB,CityC,RSU,write
15783587,user_65,hAkvchBi0E,CityC,CityB,RSU,read
63428538,user_961,TVaZPSTxVS,CityA,CityB,RSU,write
45191697,user_233,YHBY5sYAyA,CityA,CityB,RSU,write
34089212,user_433,SbuujOJv89,CityA,CityB,RSU,read
65559544,user_180,Ey3vqBF0It,CityC,CityB,RSU,write
22213063,user_594,xLTKXRMlHr,CityC,CityB,RSU,write
87931401,user_96,2lltNpXlC4,CityB,CityC,RSU,write
03610329,user_286,N0rP7isZqk,CityB,CityA,RSU,read
34285398,user_373,p937s1zw8M,CityA,CityC,RSU,read
59330089,user_702,JvpOPvAsf1,CityB,CityC,RSU,write
08945984,user_914,i0Scz4ktxU,CityB,CityA,RSU,write
05617451,user_761,2Gb1XYf3aH,CityC,CityA,RSU,read
48357303,user_254,S1h4TuaANR,CityC,CityA,RSU,read
96419996,user_583,IFV5xtm6VR,CityA,CityB,RSU,write
58375356,user_39,68UGNPET7D,CityC,CityA,RSU,write
90394166,user_739,WemJmlAU0k,CityC,CityB,RSU,write
11148581,user_405,ckk2OMneHQ,CityA,CityB,RSU,write
93590460,user_127,kh8WBXPELw,CityB,CityA,RSU,write
71649219,user_43,zuNvnMkhfn,CityB,CityC,RSU,read
67868532,user_243,1CJE5uHS5Q,CityA,CityB,RSU,read
48506767,user_540,qD4fqSzg5q,CityB,CityC,RSU,read
70487579,user_723,TBm4Dd6M54,CityA,CityC,RSU,write
43796669,user_176,zoVY9Adcg9,CityC,CityB,RSU,write
90788580,user_425,cJ7WyoAs8B,CityB,CityA,RSU,write
19764052,user_322,w65ihOecAg,CityC,CityA,RSU,write
24413675,user_339,7hHGshKjYj,CityB,CityA,RSU,write
29327251,user_393,78LgVfGBF7,CityB,CityC,RSU,read
07501753,user_929,RLfvqMgano,CityB,CityC,RSU,write
60203921,user_960,j5WSMP9RGz,CityA,CityB,RSU,write
01773320,user_748,QQ7c5vpjny,CityA,CityB,RSU,write
82855352,user_893,GYCjBq1GrP,CityC,CityA,RSU,read
77562640,user_973,s6lhuA14NG,CityA,CityB,RSU,write
81756943,user_646,Ug6uAnBBrc,CityC,CityB,RSU,write
88303041,user_336,IJ7E4zws6c,CityA,CityC,RSU,write
38381655,user_638,j3evCsvnbf,CityC,CityB,RSU,read
30946095,user_412,5UNYb5qnHF,CityA,CityC,RSU,write
81856277,user_791,YAlymwHTMb,CityA,CityC,RSU,write
80529949,user_936,W6iRT3O7TY,CityB,CityA,RSU,read
24032574,user_93,7XoLUMmgdY,CityC,CityB,RSU,read
03631830,user_35,0FqFFCOUP2,CityC,CityA,RSU,write
70296740,user_86,Zn1krSs6UI,CityA,CityC,RSU,write
23734601,user_894,rMq1t1Xd8g,CityA,CityC,RSU,read
20040740,user_251,ds5xvtAhzC,CityC,CityA,RSU,read
46474184,user_577,hpnpJGwiF9,CityC,CityA,RSU,read
57517827,user_397,Qne0qtBmFN,CityB,CityC,RSU,write
62646134,user_625,sUObG24pkW,CityB,CityC,RSU,read
55521180,user_654,4bPlRAf75W,CityB,CityC,RSU,write
74102019,user_983,qjnRq50GUU,CityC,CityA,RSU,write
15823328,user_720,aYwdCYCFAI,CityB,CityC,RSU,write
23629146,user_632,ge4melpbPQ,CityB,CityA,RSU,read
91902988,user_824,jFcVjCC8OT,CityB,CityC,RSU,read
67142185,user_197,byKBI4Vxaq,CityB,CityC,RSU,write
36109627,user_674,rEdW01tsSO,CityC,CityB,RSU,read
20417650,user_803,eufwx2KSzx,CityB,CityC,RSU,read
24670366,user_796,mdos1y2jPw,CityA,CityB,RSU,read
06734830,user_398,4V7qKrtTlx,CityB,CityC,RSU,write
62455316,user_526,qfZWA6O5DN,CityA,CityC,RSU,read
13735984,user_453,m8o0POVPIw,CityA,CityC,RSU,write
03515174,user_26,2iW3a08Hkp,CityB,CityC,RSU,read
70764605,user_217,5MNkxYqF0w,CityC,CityB,RSU,write
98891287,user_143,hYnfYSm3UR,CityC,CityB,RSU,read
28218234,user_645,g9mUqYu3ZF,CityC,CityA,RSU,write
16993239,user_863,hGshpuy2BF,CityC,CityB,RSU,write
39965259,user_962,IB33Ofcw27,CityA,CityC,RSU,read
80480685,user_510,qv341fBrNF,CityC,CityB,RSU,write
